MM:DD:YYYY hh:mm:ss, Mouse, PelletCount, MotorTurns, BatteryVoltage, Delay
8/30/2021 0:04:40,0,162,316,3.94,15
8/30/2021 0:09:35,0,163,15,3.94,15
8/30/2021 2:59:07,0,164,183,3.93,15
8/30/2021 5:20:34,0,165,8,3.92,15
8/30/2021 5:22:55,0,166,5,3.93,15
8/30/2021 6:52:46,0,167,4,3.92,15
8/30/2021 6:53:47,0,168,4,3.93,15
8/30/2021 6:54:44,0,169,4,3.92,15
8/30/2021 6:55:55,0,170,4,3.92,15
8/30/2021 6:58:15,0,171,8,3.92,15
8/30/2021 8:41:24,0,172,4,3.92,15
8/30/2021 8:43:10,0,173,8,3.91,15
8/30/2021 8:44:39,0,174,4,3.91,15
8/30/2021 8:56:02,0,175,4,3.92,15
8/30/2021 9:55:19,0,176,10,3.92,15
8/30/2021 9:56:10,0,177,3,3.91,15
8/30/2021 9:57:13,0,178,4,3.91,15
8/30/2021 9:58:27,0,179,4,3.91,15
8/30/2021 10:03:40,0,180,4,3.91,15
8/30/2021 10:59:39,0,181,10,3.91,15
8/30/2021 11:00:25,0,182,2,3.91,15
8/30/2021 11:01:06,0,183,2,3.91,15
8/30/2021 11:52:05,0,184,2,3.91,15
8/30/2021 11:52:40,0,185,2,3.91,15
8/30/2021 12:02:33,0,186,1,3.91,15
8/30/2021 12:27:23,0,187,4,3.91,15
8/30/2021 12:29:54,0,188,2,3.91,15
8/30/2021 12:30:52,0,189,4,3.91,15
8/30/2021 12:33:14,0,190,10,3.91,15
8/30/2021 12:34:15,0,191,3,3.91,15
8/30/2021 12:41:18,0,192,4,3.91,15
8/30/2021 13:00:17,0,193,2,3.91,15
8/30/2021 13:01:36,0,194,6,3.9,15
8/30/2021 13:06:07,0,195,10,3.9,15
8/30/2021 13:08:11,0,196,4,3.91,15
8/30/2021 13:31:30,0,197,71,3.9,15
8/30/2021 13:34:07,0,198,8,3.89,15
8/30/2021 13:36:06,0,199,4,3.9,15
8/30/2021 13:37:18,0,200,4,3.89,15
8/30/2021 13:42:40,0,201,4,3.9,15
8/30/2021 13:49:17,0,202,4,3.9,15
8/30/2021 14:01:53,0,203,4,3.89,15
8/30/2021 14:03:10,0,204,4,3.89,15
8/30/2021 14:05:09,0,205,9,3.89,15
8/30/2021 14:13:23,0,1,1,3.89,15
8/30/2021 14:14:01,0,2,2,3.9,15
8/30/2021 14:14:34,0,3,1,3.9,15
8/30/2021 14:15:14,0,4,1,3.89,15
8/30/2021 14:40:08,0,5,1,3.9,15
8/30/2021 14:40:36,0,6,1,3.89,15
8/30/2021 16:03:52,0,7,2,3.89,15
8/30/2021 16:04:40,0,8,1,3.89,15
8/30/2021 16:05:25,0,9,2,3.89,15
8/30/2021 16:06:23,0,10,3,3.89,15
8/30/2021 16:06:58,0,11,1,3.89,15
8/30/2021 16:08:36,0,12,1,3.89,15
8/30/2021 16:12:59,0,13,1,3.89,15
8/30/2021 16:24:10,0,14,2,3.89,15
8/30/2021 16:30:00,0,15,1,3.89,15
8/30/2021 16:40:22,0,16,1,3.89,15
8/30/2021 16:40:59,0,17,1,3.89,15
8/30/2021 16:59:11,0,18,1,3.89,15
8/30/2021 16:59:37,0,19,1,3.89,15
8/30/2021 17:20:53,0,20,1,3.89,15
8/30/2021 17:25:54,0,21,2,3.89,15
8/30/2021 17:29:33,0,22,2,3.89,15
8/30/2021 17:30:05,0,23,1,3.89,15
8/30/2021 17:43:35,0,24,3,3.89,15
8/30/2021 17:47:00,0,25,1,3.89,15
8/30/2021 18:01:08,0,26,1,3.89,15
8/30/2021 18:01:48,0,27,2,3.89,15
8/30/2021 18:02:26,0,28,3,3.89,15
8/30/2021 18:03:08,0,29,2,3.89,15
8/30/2021 18:03:52,0,30,2,3.89,15
8/30/2021 18:09:22,0,31,2,3.89,15
8/30/2021 18:23:09,0,32,1,3.89,15
8/30/2021 18:25:31,0,33,1,3.89,15
8/30/2021 18:29:38,0,34,2,3.89,15
8/30/2021 18:41:35,0,35,1,3.89,15
8/30/2021 18:53:43,0,36,1,3.89,15
8/30/2021 19:14:14,0,37,1,3.89,15
8/30/2021 19:15:07,0,38,3,3.89,15
8/30/2021 19:15:30,0,39,1,3.89,15
8/30/2021 19:15:56,0,40,1,3.89,15
8/30/2021 19:16:19,0,41,1,3.89,15
8/30/2021 20:23:42,0,42,3,3.89,15
8/30/2021 20:24:58,0,43,1,3.88,15
8/30/2021 20:25:34,0,44,2,3.88,15
8/30/2021 20:28:42,0,45,4,3.87,15
8/30/2021 20:29:06,0,46,1,3.88,15
8/30/2021 20:30:22,0,47,3,3.88,15
8/30/2021 21:22:43,0,48,3,3.88,15
8/30/2021 21:23:11,0,49,1,3.88,15
8/30/2021 21:24:08,0,50,4,3.88,15
8/30/2021 21:24:42,0,51,1,3.88,15
8/30/2021 21:37:14,0,52,4,3.87,15
8/30/2021 21:47:45,0,53,1,3.88,15
8/30/2021 21:50:50,0,54,1,3.88,15
8/30/2021 22:08:16,0,55,2,3.88,15
8/30/2021 22:08:40,0,56,1,3.88,15
8/30/2021 22:09:18,0,57,1,3.88,15
8/30/2021 22:46:46,0,58,1,3.89,15
8/30/2021 22:47:33,0,59,3,3.87,15
8/30/2021 22:47:56,0,60,1,3.88,15
