time,animal,pellets,motorTurns,battery,delay,numJamClears
1647796034,326,01,06,04,01,02
1647796086,326,02,16,04,15,14
1647796185,326,03,40,04,15,37
1647796211,326,04,04,04,15,01
1647796246,326,05,08,04,15,05
1647796278,326,06,07,04,15,04
1647796302,326,07,03,04,15,00
1647796328,326,08,04,04,15,01
1647796359,326,09,06,04,15,03
1647796383,326,10,03,04,15,00
1647796416,326,11,07,04,15,04
1647796446,326,12,06,04,15,03
1647796470,326,13,03,04,15,00
1647796497,326,14,04,04,15,01
1647796521,326,15,03,04,15,00
1647796553,326,16,07,04,15,04
1647796579,326,17,04,04,15,01
1647796606,326,18,04,04,15,01
1647796632,326,19,04,04,15,01
1647796656,326,20,03,04,15,00
1647796695,326,21,10,04,15,07
1647796721,326,22,04,04,15,01
1647796746,326,23,03,04,15,00
1647796772,326,24,04,04,15,01
1647796798,326,25,04,04,15,01
1647796822,326,26,03,04,15,00
1647796847,326,27,03,04,15,00
1647796871,326,28,03,04,15,00
1647796895,326,29,03,04,15,00
1647796922,326,30,04,04,15,01
1647796952,326,31,06,04,15,03
1647796977,326,32,03,04,15,00
1647797007,326,33,06,04,15,03
1647797037,326,34,06,04,15,03
1647797061,326,35,03,04,15,00
1647797084,326,36,02,04,15,00
1647797109,326,37,03,04,15,00
1647797133,326,38,03,04,15,00
1647797158,326,39,03,04,15,00
1647797181,326,40,02,04,15,00
1647797207,326,41,04,04,15,01
1647797233,326,42,04,04,15,01
1647797256,326,43,02,04,15,00
1647797284,326,44,05,04,15,02
1647797318,326,45,08,04,15,05
1647797347,326,46,05,04,15,02
1647797373,326,47,04,04,15,01
1647797398,326,48,03,04,15,00
1647797433,326,49,08,04,15,05
1647797458,326,50,04,04,15,01
1647857722,326,01,01,04,01,baseline
1647890474,326,02,16332,04,15,baseline
1647890566,326,03,37,04,15,baseline
1647890708,326,04,61,04,15,baseline
1647890813,326,05,44,04,15,baseline
1647891052,326,06,110,04,15,baseline
1647891118,326,07,24,04,15,baseline
1647891127,326,08,01,04,15,baseline
1647891156,326,09,07,04,15,baseline
1647891428,326,10,127,04,15,baseline
1647891832,326,11,194,04,15,baseline
1647891854,326,12,02,04,15,baseline
1647891886,326,13,06,04,15,baseline
1647892935,326,14,514,04,15,baseline
1647894043,326,15,544,04,15,baseline
1647896399,326,16,1167,04,15,baseline
1647896503,326,17,43,04,15,baseline
1647897609,326,18,543,04,15,baseline
1647898185,326,19,278,04,15,baseline
1647899539,326,20,669,04,15,baseline
1647899562,326,21,02,04,15,baseline
1647899588,326,22,05,04,15,baseline
1647899589,326,23,01,04,15,baseline
1647899591,326,24,01,04,15,baseline
1647899619,326,25,06,04,15,baseline
1647899818,326,26,92,04,15,baseline
1647899895,326,27,29,04,15,baseline
1647899919,326,28,04,04,15,baseline
1647899940,326,29,02,04,15,baseline
1647900165,326,30,103,04,15,baseline
1647900273,326,31,45,04,15,baseline
1647901052,326,32,380,04,15,baseline
1647906430,326,33,2675,04,15,baseline
1647906773,326,34,162,04,15,baseline
1647907122,326,35,165,04,15,baseline
1647907221,326,36,40,04,15,baseline
1647907345,326,37,05,04,15,baseline
1647908167,326,38,401,04,15,baseline
1647908293,326,39,54,04,15,baseline
1647908347,326,40,18,04,15,baseline
1647908423,326,41,29,04,15,baseline
1647909572,326,42,564,04,15,baseline
1647909698,326,43,54,04,15,baseline
1647910013,326,44,148,04,15,baseline
1647910717,326,45,340,04,15,baseline
1647912641,326,46,951,04,15,baseline
1647912739,326,47,40,04,15,baseline
1647922521,326,48,4873,04,15,baseline
1647922545,326,49,02,04,15,baseline
1647922645,326,50,41,04,15,baseline
1647922720,326,51,28,04,15,baseline
1647922792,326,52,25,04,15,baseline
1647923165,326,53,179,04,15,baseline
1647923201,326,54,09,04,15,baseline
1647933667,326,55,5213,04,15,baseline
1647933764,326,56,39,04,15,baseline
1647933896,326,57,57,04,15,baseline
1647941575,326,58,3822,04,15,baseline
1647941658,326,59,32,04,15,baseline
1647942580,326,60,449,04,15,baseline
1647942807,326,61,104,04,15,baseline
1647943794,326,62,483,04,15,baseline
1647949341,326,63,2758,04,15,baseline
1647949581,326,64,111,04,15,baseline
1647953108,326,65,1750,04,15,baseline
1647953245,326,66,59,04,15,baseline
1647953316,326,67,24,04,15,baseline
1647953478,326,68,72,04,15,baseline
1647953606,326,69,55,04,15,baseline
1647954126,326,70,250,04,15,baseline
1647954829,326,71,342,04,15,baseline
1647961104,326,72,3121,04,15,baseline
1647961200,326,73,39,04,15,baseline
1647961263,326,74,20,04,15,baseline
1647961355,326,75,37,04,15,baseline
1647961411,326,76,19,04,15,baseline
1647961506,326,77,38,04,15,baseline
1647964767,326,78,1618,04,15,baseline
1647964823,326,79,19,04,15,baseline
1647964888,326,80,23,04,15,baseline
1647964936,326,81,13,04,15,baseline
1647965208,326,82,127,04,15,baseline
1647965916,326,83,344,04,15,baseline
1647969393,326,84,1726,04,15,baseline
1647969468,326,85,28,04,15,baseline
1647969552,326,86,33,04,15,baseline
1647971348,326,87,887,04,15,baseline
1647971515,326,88,72,04,15,baseline
1647971597,326,89,32,04,15,baseline
1647972316,326,90,350,04,15,baseline
1647973030,326,91,347,04,15,baseline
1647973035,326,92,01,04,15,baseline
1647973621,326,93,283,04,15,baseline
1647974170,326,94,265,04,15,baseline
1647976424,326,95,1114,04,15,baseline
1647976477,326,96,17,04,15,baseline
1647976599,326,97,52,04,15,baseline
1647976675,326,98,28,04,15,baseline
1647976743,326,99,25,04,15,baseline
1647979856,326,100,1545,04,15,baseline
1647980897,326,101,510,04,15,baseline
1647982636,326,102,857,04,15,baseline
1647984131,326,103,737,04,15,baseline
1647984738,326,104,294,04,15,baseline
1647988653,326,105,1944,04,15,baseline
1647988875,326,106,102,04,15,baseline
1647988936,326,107,21,04,15,baseline
1647989675,326,108,360,04,15,baseline
1647990754,326,109,527,04,15,baseline
1647991061,326,110,144,04,15,baseline
1647991870,326,111,395,04,15,baseline
1647992230,326,112,170,04,15,baseline
1647992953,326,113,352,04,15,baseline
1647993128,326,114,78,04,15,baseline
1647994010,326,115,431,04,15,baseline
1647994645,326,116,1082419610,04,15,baseline
1647995379,326,117,357,04,15,baseline
1647998939,326,118,1767,04,15,baseline
1648005402,326,119,3216,04,15,baseline
1648013745,326,120,4153,04,15,baseline
1648013819,326,121,28,04,15,baseline
1648014137,326,122,149,04,15,baseline
1648019709,326,123,2769,04,15,baseline
1648025407,326,124,2833,04,15,baseline
1648025496,326,125,35,04,15,baseline
1648025570,326,126,28,04,15,baseline
1648025615,326,127,13,04,15,baseline
1648027398,326,01,01,04,01,baseline
1648027435,326,02,16,04,15,baseline
1648033674,326,03,3099,04,15,baseline
1648033889,326,04,95,04,15,baseline
1648033942,326,05,17,04,15,baseline
1648034423,326,06,231,04,15,baseline
1648040060,326,07,2802,04,15,baseline
1648040143,326,08,32,04,15,baseline
1648040276,326,09,57,04,15,baseline
1648040350,326,10,28,04,15,baseline
1648040364,326,11,02,04,15,baseline
1648043726,326,12,1667,04,15,baseline
1648043903,326,13,79,04,15,baseline
1648044164,326,14,121,04,15,baseline
1648044737,326,15,277,04,15,baseline
1648047331,326,16,1284,04,15,baseline
1648047411,326,17,29,04,15,baseline
1648047521,326,18,46,04,15,baseline
1648047752,326,19,106,04,15,baseline
1648049412,326,20,819,04,15,baseline
1648049739,326,21,154,04,15,baseline
1648050184,326,22,213,04,15,baseline
1648050307,326,23,52,04,15,baseline
1648051139,326,24,404,04,15,baseline
1648052072,326,25,456,04,15,baseline
1648052409,326,26,159,04,15,baseline
1648054643,326,27,1103,04,15,baseline
1648054889,326,28,114,04,15,baseline
1648055528,326,29,309,04,15,baseline
1648056380,326,30,414,04,15,baseline
1648056679,326,31,140,04,15,baseline
1648057188,326,32,245,04,15,baseline
1648058182,326,33,487,04,15,baseline
1648058841,326,34,319,04,15,baseline
1648059745,326,35,442,04,15,baseline
1648064175,326,36,2201,04,15,baseline
1648064222,326,37,12,04,15,baseline
1648064647,326,38,203,04,15,baseline
1648065064,326,39,199,04,15,baseline
1648067192,326,40,1052,04,15,baseline
1648067245,326,41,16,04,15,baseline
1648068639,326,42,686,04,15,baseline
1648069088,326,43,213,04,15,baseline
1648069898,326,44,395,04,15,baseline
1648071011,326,45,546,04,15,baseline
1648072961,326,46,964,04,15,baseline
1648074450,326,47,733,04,15,baseline
1648074943,326,48,235,04,15,baseline
1648075420,326,49,227,04,15,baseline
1648075842,326,50,201,04,15,baseline
1648076078,326,51,109,04,15,baseline
1648076470,326,52,188,04,15,baseline
1648076522,326,53,17,04,15,baseline
1648078070,326,54,763,04,15,baseline
1648078738,326,55,324,04,15,baseline
1648079422,326,56,331,04,15,baseline
1648083785,326,57,2166,04,15,baseline
1648083790,326,58,01,04,15,baseline
1648089507,326,59,2842,04,15,baseline
1648089584,326,60,29,04,15,baseline
1648089650,326,61,24,04,15,baseline
1648089910,326,62,118,04,15,baseline
1648094155,326,63,2106,04,15,baseline
1648100222,326,64,3014,04,15,baseline
1648100410,326,65,83,04,15,baseline
1648107360,326,66,3456,04,15,baseline
1648112533,326,67,2570,04,15,baseline
1648112562,326,68,03,04,15,baseline
1648112731,326,69,75,04,15,baseline
1648113654,326,70,451,04,15,baseline
1648114404,326,71,363,04,15,baseline
1648114583,326,01,01,04,01,baseline
1648115063,326,02,230,04,15,baseline
1648115948,326,03,432,04,15,baseline
1648125343,326,04,4675,04,15,baseline
1648125526,326,05,82,04,15,baseline
1648125608,326,06,32,04,15,baseline
1648125715,326,07,42,04,15,baseline
1648125970,326,08,114,04,15,baseline
