946684831,00,536871724
1670068593,00,01,locomotor
1670073057,00,02,locomotor
1670073100,00,03,locomotor
1670073112,00,04,locomotor
1670073126,00,05,locomotor
1670073132,00,06,locomotor
1670073143,00,07,locomotor
1670073150,00,08,locomotor
1670073163,00,09,locomotor
1670073184,00,10,locomotor
1670073190,00,11,locomotor
1670073201,00,12,locomotor
1670073213,00,13,locomotor
1670073225,00,14,locomotor
1670073231,00,15,locomotor
1670073242,00,16,locomotor
1670073256,00,17,locomotor
1670073263,00,18,locomotor
1670073270,00,19,locomotor
1670073288,00,20,locomotor
1670073309,00,21,locomotor
1670073321,00,22,locomotor
1670073328,00,23,locomotor
1670073336,00,24,locomotor
1670073342,00,25,locomotor
1670073353,00,26,locomotor
1670073360,00,27,locomotor
1670073382,00,28,locomotor
1670073389,00,29,locomotor
1670073395,00,30,locomotor
1670073402,00,31,locomotor
1670073415,00,32,locomotor
1670073440,00,33,locomotor
1670073448,00,34,locomotor
1670073455,00,35,locomotor
1670073461,00,36,locomotor
1670073468,00,37,locomotor
1670073480,00,38,locomotor
1670073486,00,39,locomotor
1670073515,00,40,locomotor
1670073522,00,41,locomotor
1670073543,00,42,locomotor
1670073561,00,43,locomotor
1670073587,00,44,locomotor
1670073598,00,45,locomotor
1670073604,00,46,locomotor
1670073610,00,47,locomotor
1670073617,00,48,locomotor
1670073623,00,49,locomotor
1670073644,00,50,locomotor
1670073653,00,51,locomotor
1670073665,00,52,locomotor
1670073697,00,53,locomotor
1670073714,00,54,locomotor
1670073738,00,55,locomotor
1670073748,00,56,locomotor
1670073761,00,57,locomotor
1670073772,00,58,locomotor
1670073783,00,59,locomotor
1670073794,00,60,locomotor
1670073812,00,61,locomotor
1670073827,00,62,locomotor
1670073873,00,63,locomotor
1670073881,00,64,locomotor
1670073907,00,65,locomotor
1670073913,00,66,locomotor
1670073919,00,67,locomotor
1670073926,00,68,locomotor
1670073933,00,69,locomotor
1670073944,00,70,locomotor
1670073951,00,71,locomotor
1670073963,00,72,locomotor
1670073971,00,73,locomotor
1670073985,00,74,locomotor
1670073998,00,75,locomotor
1670074009,00,76,locomotor
1670074035,00,77,locomotor
1670074048,00,78,locomotor
1670074066,00,79,locomotor
1670074086,00,80,locomotor
1670074098,00,81,locomotor
1670074126,00,82,locomotor
1670074172,00,83,locomotor
1670074180,00,84,locomotor
1670074198,00,85,locomotor
1670074250,00,86,locomotor
1670074256,00,87,locomotor
1670074264,00,88,locomotor
1670074271,00,89,locomotor
1670074281,00,90,locomotor
1670074292,00,91,locomotor
1670074303,00,92,locomotor
1670074348,00,93,locomotor
1670074356,00,94,locomotor
1670074391,00,95,locomotor
1670074406,00,96,locomotor
1670074452,00,97,locomotor
1670074467,00,98,locomotor
1670074479,00,99,locomotor
1670074486,00,100,locomotor
1670074494,00,101,locomotor
1670074503,00,102,locomotor
1670074526,00,103,locomotor
1670074549,00,104,locomotor
1670074555,00,105,locomotor
1670074604,00,106,locomotor
1670074611,00,107,locomotor
1670074619,00,108,locomotor
1670074638,00,109,locomotor
1670074644,00,110,locomotor
1670074651,00,111,locomotor
1670074658,00,112,locomotor
1670074665,00,113,locomotor
1670074697,00,114,locomotor
1670074704,00,115,locomotor
1670074712,00,116,locomotor
1670074722,00,117,locomotor
1670074729,00,118,locomotor
1670074762,00,119,locomotor
1670074795,00,120,locomotor
1670074806,00,121,locomotor
1670074812,00,122,locomotor
1670074818,00,123,locomotor
1670074839,00,124,locomotor
1670074845,00,125,locomotor
1670074877,00,126,locomotor
1670074884,00,127,locomotor
1670074916,00,128,locomotor
1670074925,00,129,locomotor
1670074946,00,130,locomotor
1670074969,00,131,locomotor
1670075019,00,132,locomotor
1670075029,00,133,locomotor
1670075041,00,134,locomotor
1670075074,00,135,locomotor
1670075090,00,136,locomotor
1670075100,00,137,locomotor
1670075110,00,138,locomotor
1670075116,00,139,locomotor
1670075128,00,140,locomotor
1670075136,00,141,locomotor
1670075148,00,142,locomotor
1670075171,00,143,locomotor
1670075198,00,144,locomotor
1670075206,00,145,locomotor
1670075217,00,146,locomotor
1670075224,00,147,locomotor
1670075235,00,148,locomotor
1670075241,00,149,locomotor
1670075248,00,150,locomotor
1670075256,00,151,locomotor
1670075262,00,152,locomotor
1670075268,00,153,locomotor
1670075284,00,154,locomotor
1670075291,00,155,locomotor
1670075297,00,156,locomotor
1670075306,00,157,locomotor
1670075313,00,158,locomotor
1670075324,00,159,locomotor
1670075331,00,160,locomotor
1670075339,00,161,locomotor
1670075350,00,162,locomotor
1670075357,00,163,locomotor
1670075365,00,164,locomotor
1670075371,00,165,locomotor
1670075377,00,166,locomotor
1670075389,00,167,locomotor
1670075395,00,168,locomotor
1670075401,00,169,locomotor
1670075434,00,170,locomotor
1670075449,00,171,locomotor
1670075476,00,172,locomotor
1670075488,00,173,locomotor
1670075525,00,174,locomotor
1670075531,00,175,locomotor
1670075545,00,176,locomotor
1670075551,00,177,locomotor
1670075557,00,178,locomotor
1670075568,00,179,locomotor
1670075575,00,180,locomotor
1670075582,00,181,locomotor
1670075588,00,182,locomotor
1670075597,00,183,locomotor
1670075609,00,184,locomotor
1670075679,00,185,locomotor
1670075692,00,186,locomotor
1670075699,00,187,locomotor
1670075723,00,188,locomotor
1670075730,00,189,locomotor
1670075746,00,190,locomotor
1670075752,00,191,locomotor
1670075761,00,192,locomotor
1670075768,00,193,locomotor
1670075775,00,194,locomotor
1670075784,00,195,locomotor
1670075791,00,196,locomotor
1670075802,00,197,locomotor
1670075822,00,198,locomotor
1670075878,00,199,locomotor
1670075894,00,200,locomotor
1670075911,00,201,locomotor
1670075917,00,202,locomotor
1670075925,00,203,locomotor
1670075931,00,204,locomotor
1670075938,00,205,locomotor
1670075947,00,206,locomotor
1670075956,00,207,locomotor
1670075998,00,208,locomotor
1670076015,00,209,locomotor
1670076055,00,210,locomotor
1670076092,00,211,locomotor
1670076155,00,212,locomotor
1670076166,00,213,locomotor
1670076262,00,214,locomotor
1670076268,00,215,locomotor
1670076277,00,216,locomotor
1670076293,00,217,locomotor
1670076299,00,218,locomotor
1670076315,00,219,locomotor
1670076322,00,220,locomotor
1670076345,00,221,locomotor
1670076356,00,222,locomotor
1670076368,00,223,locomotor
1670076380,00,224,locomotor
1670076392,00,225,locomotor
1670076398,00,226,locomotor
1670076406,00,227,locomotor
1670076412,00,228,locomotor
1670076455,00,229,locomotor
1670076484,00,230,locomotor
